,tconst,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
33320,tt0033922,Mr. & Mrs. Smith,Mr. & Mrs. Smith,0,1941,1941,95,"Comedy,Romance",6.3,10836.0
33340,tt0033945,Never Give a Sucker an Even Break,Never Give a Sucker an Even Break,0,1941,1941,71,"Comedy,Musical",7.1,2457.0
33375,tt0033980,One Foot in Heaven,One Foot in Heaven,0,1941,1941,108,"Biography,Drama,Romance",6.7,1375.0
33382,tt0033987,Out of the Fog,Out of the Fog,0,1941,1941,85,"Crime,Drama,Film-Noir",6.8,1798.0
33407,tt0034012,Penny Serenade,Penny Serenade,0,1941,1941,119,"Drama,Romance",7.1,7539.0
33422,tt0034027,'Pimpernel' Smith,'Pimpernel' Smith,0,1941,1941,120,"Adventure,Drama,Thriller",7.2,1707.0
33450,tt0034055,Pot o' Gold,Pot o' Gold,0,1941,1941,86,"Comedy,Musical,Romance",5.9,1954.0
33472,tt0034078,Rage in Heaven,Rage in Heaven,0,1941,1941,85,"Drama,Thriller",6.3,1284.0
33485,tt0034091,The Reluctant Dragon,The Reluctant Dragon,0,1941,1941,74,"Animation,Comedy,Family",6.8,3519.0
33487,tt0034093,Remorques,Remorques,0,1941,1941,91,"Action,Drama,Romance",7.2,1374.0
33510,tt0034116,Road to Zanzibar,Road to Zanzibar,0,1941,1941,91,"Adventure,Comedy,Musical",6.7,3174.0
33555,tt0034162,The Sea Wolf,The Sea Wolf,0,1941,1941,100,"Adventure,Drama",7.5,4100.0
33560,tt0034167,Sergeant York,Sergeant York,0,1941,1941,134,"Biography,Drama,History",7.7,18837.0
33565,tt0034172,Shadow of the Thin Man,Shadow of the Thin Man,0,1941,1941,97,"Comedy,Crime,Drama",7.2,6468.0
33567,tt0034175,The Shanghai Gesture,The Shanghai Gesture,0,1941,1941,95,"Crime,Drama,Film-Noir",6.6,2843.0
33574,tt0034182,The Shepherd of the Hills,The Shepherd of the Hills,0,1941,1941,98,"Adventure,Drama,Romance",6.9,2431.0
33616,tt0034224,Spooks Run Wild,Spooks Run Wild,0,1941,1941,65,"Comedy,Horror",5.3,1762.0
33628,tt0034236,The Strawberry Blonde,The Strawberry Blonde,0,1941,1941,99,"Comedy,Romance",7.2,3893.0
33632,tt0034240,Sullivan's Travels,Sullivan's Travels,0,1941,1941,90,"Adventure,Comedy,Drama",7.9,27159.0
33633,tt0034241,Sun Valley Serenade,Sun Valley Serenade,0,1941,1941,86,Comedy,7.1,1747.0
33640,tt0034248,Suspicion,Suspicion,0,1941,1941,99,"Film-Noir,Mystery,Thriller",7.3,39863.0
33642,tt0034251,Swamp Water,Swamp Water,0,1941,1941,88,"Crime,Drama,Mystery",7.0,1923.0
33657,tt0034266,Tarzan's Secret Treasure,Tarzan's Secret Treasure,0,1941,1941,81,"Action,Adventure,Romance",6.4,3041.0
33660,tt0034269,Texas,Texas,0,1941,1941,93,Western,6.7,1370.0
33663,tt0034272,That Hamilton Woman,That Hamilton Woman,0,1941,1941,125,"Drama,History,Romance",7.2,4778.0
33665,tt0034274,That Uncertain Feeling,That Uncertain Feeling,0,1941,1941,84,Comedy,6.6,2817.0
33668,tt0034277,They Died with Their Boots On,They Died with Their Boots On,0,1941,1941,140,"Biography,Drama,Romance",7.2,6526.0
33672,tt0034281,They Met in Bombay,They Met in Bombay,0,1941,1941,92,"Adventure,Comedy,Crime",6.5,1194.0
33688,tt0034297,Tobacco Road,Tobacco Road,0,1941,1941,84,"Comedy,Drama",6.4,2443.0
33689,tt0034298,The Brothers and Sisters of the Toda Family,Toda-ke no kyôdai,0,1941,1941,105,Drama,7.3,1335.0
33690,tt0034299,"Tom, Dick and Harry","Tom, Dick and Harry",0,1941,1941,87,Comedy,6.4,1145.0
33694,tt0034303,Topper Returns,Topper Returns,0,1941,1941,88,"Comedy,Fantasy,Mystery",6.8,3159.0
33718,tt0034328,Two-Faced Woman,Two-Faced Woman,0,1941,1941,90,"Comedy,Music,Mystery",6.2,1898.0
33760,tt0034370,The Wagons Roll at Night,The Wagons Roll at Night,0,1941,1941,84,"Drama,Romance",6.3,1091.0
33774,tt0034384,Western Union,Western Union,0,1941,1941,95,"History,Western",6.7,3003.0
33776,tt0034386,When Ladies Meet,When Ladies Meet,0,1941,1941,105,"Comedy,Drama,Romance",6.5,1290.0
33779,tt0034389,Whistling in the Dark,Whistling in the Dark,0,1941,1941,78,"Comedy,Crime,Mystery",6.7,1026.0
33788,tt0034398,The Wolf Man,The Wolf Man,0,1941,1941,70,"Horror,Mystery,Romance",7.2,28450.0
33789,tt0034399,A Woman's Face,A Woman's Face,0,1941,1941,106,"Drama,Film-Noir,Thriller",7.2,3526.0
33795,tt0034405,A Yank in the RAF,A Yank in the R.A.F.,0,1941,1941,98,"Action,Adventure,Drama",6.3,1492.0
33799,tt0034409,You'll Never Get Rich,You'll Never Get Rich,0,1941,1941,88,"Comedy,Romance",6.7,2711.0
